cyl,beta_cyl_disp,beta_cyl_hp,beta_cyl_wt
4,-0.135141814559605,-0.112775887819449,-5.64702526124228
6,0.00360511850745111,-0.00761326860841451,-2.78010593915528
8,-0.0196340949126405,-0.0142441215089026,-2.19243792644972
